,area_type,area_name,date,year,month,seasonally_adjusted_y_n,status_preliminary_final,labor_force,employment,unemployment,unemployment_rate
136,Sub-County Place,American Canyon city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,9600,8900,700,0.072
137,Sub-County Place,Anaheim city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,164000,152100,12000,0.073
138,Sub-County Place,Anderson city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,4100,3800,300,0.063
139,Sub-County Place,Angels City city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1810,1730,80,0.043
140,Sub-County Place,Angwin CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1700,1600,100,0.067
141,Sub-County Place,Antioch city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,48800,44200,4600,0.094
142,Sub-County Place,Apple Valley town,2021-04-01T00:00:00.000,2021,April,N,Preliminary,29200,26600,2600,0.088
143,Sub-County Place,Aptos CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,3300,3200,100,0.03
144,Sub-County Place,Aptos Hills Larkin Valley CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1000,900,100,0.052
145,Sub-County Place,Arbuckle CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,2110,1740,370,0.174
146,Sub-County Place,Arcadia city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,29100,26800,2300,0.08
147,Sub-County Place,Arcata city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,9200,8400,900,0.096
148,Sub-County Place,Arden Arcade CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,46700,42300,4400,0.094
149,Sub-County Place,Armona CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1600,1400,200,0.102
150,Sub-County Place,Arnold CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1000,920,80,0.083
151,Sub-County Place,Aromas CDP (Monterey Co),2021-04-01T00:00:00.000,2021,April,N,Preliminary,1500,1400,100,0.059
152,Sub-County Place,Arroyo Grande city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,8200,8000,200,0.03
153,Sub-County Place,Artesia city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,8000,7200,800,0.098
154,Sub-County Place,Arvin city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,8500,7600,900,0.104
155,Sub-County Place,Ashland CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,11600,10500,1100,0.099
156,Sub-County Place,Atascadero city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,14000,13200,700,0.054
157,Sub-County Place,Atherton town,2021-04-01T00:00:00.000,2021,April,N,Preliminary,3100,2900,200,0.062
158,Sub-County Place,Atwater city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,11700,10500,1200,0.102
159,Sub-County Place,Auberry CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,800,800,0,0.042
160,Sub-County Place,Auburn city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,6600,6100,500,0.071
161,Sub-County Place,August CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,3300,2700,600,0.184
162,Sub-County Place,Avalon city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,2000,2000,0,0.001
163,Sub-County Place,Avenal city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,3600,3100,600,0.163
164,Sub-County Place,Avery CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,310,290,20,0.055
165,Sub-County Place,Avocado Heights CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,7600,6500,1100,0.145
166,Sub-County Place,Azusa city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,25400,22700,2600,0.104
167,Sub-County Place,Bakersfield city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,169000,155900,13100,0.078
168,Sub-County Place,Baldwin Park city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,35000,30700,4300,0.122
169,Sub-County Place,Banning city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,11200,10200,1100,0.095
170,Sub-County Place,Barstow city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,8700,7900,800,0.093
171,Sub-County Place,Bay Point CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,12000,10800,1200,0.1
172,Sub-County Place,Beale AFB CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,200,200,0,0.044
173,Sub-County Place,Bear Valley CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,40,40,0,0
174,Sub-County Place,Bear Valley Springs CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1700,1600,100,0.073
175,Sub-County Place,Beaumont city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,23500,22000,1500,0.064
176,Sub-County Place,Beckwourth CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,250,250,0,0
177,Sub-County Place,Belden CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,0,0,0,0
178,Sub-County Place,Bell city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,15400,13500,1900,0.124
179,Sub-County Place,Bellflower city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,37400,32300,5200,0.138
180,Sub-County Place,Bell Gardens city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,18300,16100,2200,0.118
181,Sub-County Place,Belmont city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,15400,14800,600,0.039
182,Sub-County Place,Benicia city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,14000,13200,800,0.056
183,Sub-County Place,Ben Lomond CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,3400,3300,100,0.027
184,Sub-County Place,Berkeley city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,58000,55200,2800,0.049
185,Sub-County Place,Bermuda Dunes CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,3400,3100,300,0.086
186,Sub-County Place,Bertsch Oceanview CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,740,580,160,0.214
187,Sub-County Place,Bethel Island CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,700,700,0,0.062
188,Sub-County Place,Beverly Hills city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,17800,16400,1500,0.082
189,Sub-County Place,Big Bear City CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,5700,5400,300,0.06
190,Sub-County Place,Big Bear Lake city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,2300,2200,100,0.03
191,Sub-County Place,Biggs city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,800,700,0,0.033
192,Sub-County Place,Big Pine CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,650,620,30,0.046
193,Sub-County Place,Big River CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,400,300,0,0.124
194,Sub-County Place,Biola CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,900,600,200,0.249
195,Sub-County Place,Bishop city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1780,1680,100,0.055
196,Sub-County Place,Bloomington CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,9800,9200,500,0.056
197,Sub-County Place,Blue Lake city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,500,500,0,0.036
198,Sub-County Place,Bluewater CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,0,0,0,0.132
199,Sub-County Place,Blythe city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,5600,5100,500,0.084
200,Sub-County Place,Bodega Bay CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,400,300,0,0.061
201,Sub-County Place,Bodfish CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,500,400,100,0.11
202,Sub-County Place,Bonadelle Ranchos Madera Ranchos CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,4000,3700,300,0.067
203,Sub-County Place,Bonita CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,5700,5200,500,0.095
204,Sub-County Place,Bootjack CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,290,260,30,0.108
205,Sub-County Place,Boron CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,900,800,100,0.081
206,Sub-County Place,Boronda CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,900,700,300,0.305
207,Sub-County Place,Bostonia CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,7700,7000,700,0.093
208,Sub-County Place,Boulder Creek CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,2500,2300,200,0.086
209,Sub-County Place,Boyes Hot Springs CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,3700,3500,200,0.042
210,Sub-County Place,Bradbury city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,400,400,0,0.04
211,Sub-County Place,Bradley CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,0,0,0,0
212,Sub-County Place,Brawley city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,9500,8100,1400,0.147
213,Sub-County Place,Brea city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,21900,20500,1400,0.064
214,Sub-County Place,Brentwood city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,27900,26100,1800,0.064
215,Sub-County Place,Bret Harte CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1800,1500,300,0.181
216,Sub-County Place,Brisbane city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,2700,2600,100,0.034
217,Sub-County Place,Broadmoor CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,3200,2900,300,0.108
218,Sub-County Place,Bucks Lake CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,0,0,0,0
219,Sub-County Place,Buellton city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,2600,2600,100,0.021
220,Sub-County Place,Buena Park city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,38400,35600,2800,0.074
221,Sub-County Place,Burbank city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,59200,52200,7000,0.119
222,Sub-County Place,Burlingame city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,17300,16500,700,0.041
223,Sub-County Place,Burney CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1400,1200,200,0.133
224,Sub-County Place,Buttonwillow CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,500,400,100,0.141
225,Sub-County Place,Byron CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,500,400,100,0.131
226,Sub-County Place,Bystrom CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1300,1200,100,0.098
227,Sub-County Place,Cabazon CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1100,1100,0,0.036
228,Sub-County Place,Calabasas city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,12100,11200,900,0.075
229,Sub-County Place,Calexico city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,15300,11800,3500,0.229
230,Sub-County Place,California City city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,4800,3800,1000,0.206
231,Sub-County Place,Calimesa city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,3500,3300,200,0.061
232,Sub-County Place,Calipatria city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1100,900,300,0.23
233,Sub-County Place,Calistoga city,2021-04-01T00:00:00.000,2021,April,N,Preliminary,2600,2400,200,0.073
234,Sub-County Place,Calwa CDP,2021-04-01T00:00:00.000,2021,April,N,Preliminary,900,700,200,0.191
